ZipCode,county,state,Youth,Retirement,Geriatric
35085,Chilton County,AL,81.64794007490637,NA,NA
35215,Jefferson County,AL,5.617977528089887,NA,NA
36064,Montgomery County,AL,NA,90.17341040462428,NA
36091,Chilton County,AL,NA,94.79768786127167,NA
36303,Houston County,AL,23.595505617977526,NA,NA
36875,Russell County,AL,NA,NA,100
85139,Pinal County,AZ,NA,73.41040462427746,NA
85206,Maricopa County,AZ,NA,32.947976878612714,NA
85248,Maricopa County,AZ,NA,NA,9.35672514619883
85283,Maricopa County,AZ,NA,27.167630057803464,NA
85365,Yuma County,AZ,NA,NA,14.035087719298245
85373,Maricopa County,AZ,NA,80.05780346820809,NA
85737,Pima County,AZ,75.65543071161048,NA,NA
86322,Yavapai County,AZ,NA,66.1849710982659,NA
86442,Mohave County,AZ,NA,NA,84.21052631578947
71953,Polk County,AR,91.01123595505618,NA,NA
72117,Pulaski County,AR,80.14981273408239,NA,NA
72143,White County,AR,55.80524344569289,NA,NA
72335,St. Francis County,AR,NA,76.58959537572254,NA
90025,Los Angeles County,CA,NA,NA,12.865497076023392
90034,Los Angeles County,CA,78.27715355805243,NA,34.50292397660819
90221,Los Angeles County,CA,30.337078651685395,NA,NA
90241,Los Angeles County,CA,NA,89.30635838150289,67.83625730994152
90280,Los Angeles County,CA,NA,40.46242774566474,NA
90604,Los Angeles County,CA,NA,59.82658959537572,NA
90631,Orange County,CA,41.947565543071164,NA,NA
90660,Los Angeles County,CA,38.20224719101123,NA,NA
90703,Los Angeles County,CA,61.04868913857678,NA,NA
90808,Los Angeles County,CA,NA,46.53179190751445,NA
91350,Los Angeles County,CA,39.325842696629216,NA,NA
91356,Los Angeles County,CA,NA,NA,24.561403508771928
91381,Los Angeles County,CA,73.78277153558052,NA,NA
91405,Los Angeles County,CA,NA,NA,54.97076023391813
91406,Los Angeles County,CA,35.580524344569284,NA,NA
91604,Los Angeles County,CA,92.13483146067416,NA,NA
91706,Los Angeles County,CA,NA,35.54913294797688,NA
91709,San Bernardino County,CA,37.07865168539326,NA,NA
91744,Los Angeles County,CA,NA,26.878612716763005,NA
91762,San Bernardino County,CA,22.846441947565545,NA,NA
91789,Los Angeles County,CA,NA,NA,61.98830409356725
92019,San Diego County,CA,NA,78.32369942196532,NA
92021,San Diego County,CA,18.726591760299627,NA,NA
92111,San Diego County,CA,70.0374531835206,NA,NA
92122,San Diego County,CA,NA,68.78612716763006,NA
92131,San Diego County,CA,NA,NA,97.07602339181285
92284,San Bernardino County,CA,NA,28.32369942196532,NA
92376,San Bernardino County,CA,NA,16.473988439306357,NA
92411,San Bernardino County,CA,NA,45.664739884393065,NA
92509,Riverside County,CA,11.235955056179774,NA,NA
92591,Riverside County,CA,45.69288389513109,NA,NA
92808,Orange County,CA,NA,82.65895953757226,NA
92831,Orange County,CA,NA,75.14450867052022,NA
93012,Ventura County,CA,NA,NA,25.730994152046783
93103,Santa Barbara County,CA,NA,93.9306358381503,NA
93268,Kern County,CA,NA,86.70520231213872,NA
93277,Tulare County,CA,28.08988764044944,18.20809248554913,NA
93306,Kern County,CA,NA,41.90751445086705,NA
93307,Kern County,CA,NA,56.358381502890175,NA
93311,Kern County,CA,55.80524344569289,NA,NA
93312,Kern County,CA,NA,NA,65.49707602339181
93313,Kern County,CA,61.79775280898876,NA,NA
93436,Santa Barbara County,CA,33.33333333333333,NA,NA
93551,Los Angeles County,CA,NA,58.95953757225434,NA
93614,Madera County,CA,NA,82.08092485549133,NA
93619,Fresno County,CA,18.352059925093634,NA,NA
93644,Madera County,CA,99.625468164794,NA,NA
93705,Fresno County,CA,14.606741573033707,NA,NA
93720,Fresno County,CA,19.475655430711612,NA,NA
93722,Fresno County,CA,2.247191011235955,NA,NA
93905,Monterey County,CA,52.80898876404494,NA,NA
94010,San Mateo County,CA,58.80149812734082,35.83815028901734,NA
94065,San Mateo County,CA,NA,90.7514450867052,NA
94107,San Francisco County,CA,NA,NA,57.30994152046783
94503,Napa County,CA,NA,NA,72.51461988304094
94506,Contra Costa County,CA,32.58426966292135,NA,NA
94598,Contra Costa County,CA,60.67415730337079,NA,NA
94611,Alameda County,CA,NA,22.832369942196532,NA
94945,Marin County,CA,NA,NA,69.5906432748538
94947,Marin County,CA,NA,NA,28.654970760233915
95003,Santa Cruz County,CA,NA,73.98843930635837,NA
95006,Santa Cruz County,CA,NA,91.61849710982659,NA
95207,San Joaquin County,CA,NA,NA,46.198830409356724
95340,Merced County,CA,37.07865168539326,NA,NA
95350,Stanislaus County,CA,17.228464419475657,NA,NA
95370,Tuolumne County,CA,NA,3.1791907514450863,9.941520467836257
95382,Stanislaus County,CA,47.19101123595505,NA,NA
95401,Sonoma County,CA,NA,80.63583815028902,NA
95476,Sonoma County,CA,NA,38.15028901734104,NA
95492,Sonoma County,CA,NA,NA,45.02923976608187
95628,Sacramento County,CA,NA,44.21965317919075,NA
95648,Placer County,CA,NA,NA,35.67251461988304
95687,Solano County,CA,NA,20.809248554913296,23.976608187134502
95688,Solano County,CA,NA,65.3179190751445,NA
95693,Sacramento County,CA,99.25093632958801,NA,92.98245614035088
95828,Sacramento County,CA,36.329588014981276,NA,NA
95835,Sacramento County,CA,NA,NA,53.80116959064327
95838,Sacramento County,CA,NA,88.4393063583815,NA
95864,Sacramento County,CA,NA,NA,43.27485380116959
80015,Arapahoe County,CO,23.970037453183522,NA,NA
80022,Adams County,CO,NA,NA,78.3625730994152
80128,Jefferson County,CO,33.70786516853933,NA,NA
80210,Denver County,CO,NA,58.38150289017341,NA
80239,Denver County,CO,NA,54.6242774566474,NA
80524,Larimer County,CO,NA,27.74566473988439,NA
80915,El Paso County,CO,NA,78.03468208092485,NA
06001,Hartford County,CT,NA,70.23121387283237,NA
06032,Hartford County,CT,77.52808988764045,NA,NA
06512,New Haven County,CT,NA,NA,15.204678362573098
06513,New Haven County,CT,13.48314606741573,NA,NA
19953,Kent County,DE,97.75280898876404,NA,NA
32137,Flagler County,FL,NA,7.225433526011561,NA
32207,Duval County,FL,31.086142322097377,NA,NA
32217,Duval County,FL,NA,52.02312138728323,NA
32401,Bay County,FL,NA,30.63583815028902,NA
32514,Escambia County,FL,NA,13.872832369942195,NA
32571,Santa Rosa County,FL,NA,NA,26.31578947368421
32696,Levy County,FL,NA,53.75722543352601,NA
32765,Seminole County,FL,85.0187265917603,NA,NA
32935,Brevard County,FL,NA,47.398843930635834,NA
32937,Brevard County,FL,NA,62.71676300578035,NA
33032,Miami-Dade County,FL,NA,69.07514450867052,NA
33143,Miami-Dade County,FL,NA,NA,42.10526315789473
33165,Miami-Dade County,FL,26.217228464419474,NA,NA
33176,Miami-Dade County,FL,26.96629213483146,NA,NA
33178,Miami-Dade County,FL,35.95505617977528,NA,NA
33184,Miami-Dade County,FL,NA,70.8092485549133,NA
33186,Miami-Dade County,FL,NA,33.52601156069364,NA
33316,Broward County,FL,NA,73.121387283237,NA
33330,Broward County,FL,NA,NA,95.90643274853801
33467,Palm Beach County,FL,79.40074906367042,NA,NA
33469,Palm Beach County,FL,NA,60.982658959537574,26.900584795321635
33487,Palm Beach County,FL,88.01498127340824,NA,NA
33611,Hillsborough County,FL,83.89513108614233,NA,NA
33612,Hillsborough County,FL,8.239700374531834,NA,NA
33635,Hillsborough County,FL,NA,NA,89.47368421052632
33809,Polk County,FL,NA,54.33526011560693,NA
33881,Polk County,FL,52.80898876404494,34.971098265895954,NA
33912,Lee County,FL,NA,49.71098265895954,NA
34108,Collier County,FL,NA,NA,30.994152046783626
34110,Collier County,FL,NA,92.77456647398844,NA
34112,Collier County,FL,63.670411985018724,40.17341040462428,NA
34229,Sarasota County,FL,NA,69.65317919075144,NA
34453,Citrus County,FL,89.8876404494382,NA,NA
34472,Marion County,FL,21.34831460674157,NA,NA
34491,Marion County,FL,NA,69.36416184971098,NA
34685,Pinellas County,FL,87.64044943820225,NA,NA
34952,St. Lucie County,FL,NA,8.959537572254336,NA
30009,Fulton County,GA,74.15730337078652,NA,NA
30132,Paulding County,GA,28.83895131086142,NA,NA
30153,Polk County,GA,46.441947565543074,54.04624277456648,NA
30815,Richmond County,GA,16.479400749063668,NA,NA
30901,Richmond County,GA,NA,84.6820809248555,NA
30909,Richmond County,GA,65.1685393258427,NA,NA
31321,Bryan County,GA,NA,NA,98.83040935672514
31410,Chatham County,GA,NA,48.26589595375722,NA
31415,Chatham County,GA,NA,86.9942196531792,NA
31419,Chatham County,GA,NA,34.39306358381503,NA
31522,Glynn County,GA,NA,74.56647398843931,NA
31569,Camden County,GA,96.25468164794007,NA,NA
31904,Muscogee County,GA,49.063670411985015,NA,NA
96720,Hawaii County,HI,NA,NA,32.16374269005848
96816,Honolulu County,HI,NA,NA,7.602339181286549
96825,Honolulu County,HI,51.68539325842697,NA,NA
83204,Bannock County,ID,NA,64.45086705202311,NA
83211,Power County,ID,NA,NA,94.73684210526315
83330,Gooding County,ID,NA,96.53179190751445,NA
83350,Minidoka County,ID,NA,68.20809248554913,NA
83440,Madison County,ID,NA,72.25433526011561,NA
83651,Canyon County,ID,NA,11.849710982658959,NA
83843,Latah County,ID,20.224719101123593,NA,NA
60025,Cook County,IL,NA,NA,5.847953216374268
60030,Lake County,IL,NA,23.410404624277454,NA
60062,Cook County,IL,NA,4.046242774566474,NA
60085,Lake County,IL,26.591760299625467,NA,NA
60115,DeKalb County,IL,NA,32.369942196531795,NA
60123,Kane County,IL,NA,71.38728323699422,NA
60124,Kane County,IL,NA,NA,38.59649122807017
60172,DuPage County,IL,NA,NA,92.39766081871345
60442,Will County,IL,67.41573033707866,NA,NA
60451,Will County,IL,9.737827715355806,NA,NA
60457,Cook County,IL,92.50936329588015,NA,NA
60459,Cook County,IL,NA,83.52601156069365,NA
60561,DuPage County,IL,62.92134831460674,NA,NA
60586,Will County,IL,11.985018726591761,NA,NA
60601,Cook County,IL,NA,NA,88.30409356725146
60619,Cook County,IL,12.359550561797752,NA,NA
60628,Cook County,IL,13.108614232209737,NA,NA
60632,Cook County,IL,20.59925093632959,NA,NA
60639,Cook County,IL,NA,7.514450867052023,NA
60643,Cook County,IL,NA,3.4682080924855487,NA
60649,Cook County,IL,NA,8.38150289017341,NA
60660,Cook County,IL,NA,15.895953757225435,NA
60901,Kankakee County,IL,NA,NA,12.280701754385964
61021,Lee County,IL,NA,NA,2.3391812865497075
61081,Whiteside County,IL,NA,NA,4.093567251461988
61201,Rock Island County,IL,NA,NA,37.42690058479532
61301,LaSalle County,IL,NA,67.34104046242774,NA
61761,McLean County,IL,36.329588014981276,NA,NA
61801,Champaign County,IL,NA,NA,90.64327485380117
61853,Champaign County,IL,NA,71.09826589595376,NA
