ZipCode,county,state,Adult,Retirement,Geriatric
35020,Jefferson County,AL,NA,NA,38.613861386138616
35160,Talladega County,AL,NA,41.41414141414141,NA
35501,Walker County,AL,61.6580310880829,NA,NA
35750,Madison County,AL,NA,NA,86.46864686468648
35801,Madison County,AL,NA,NA,42.244224422442244
35806,Madison County,AL,NA,NA,89.43894389438944
35811,Madison County,AL,NA,37.37373737373738,NA
36116,Montgomery County,AL,NA,87.54208754208754,NA
36467,Covington County,AL,NA,61.95286195286195,NA
36695,Mobile County,AL,NA,NA,43.56435643564357
36801,Lee County,AL,NA,NA,65.34653465346535
36853,Tallapoosa County,AL,75.12953367875647,NA,NA
99501,Anchorage Municipality,AK,NA,NA,74.91749174917491
99576,Dillingham Census Area,AK,NA,99.66329966329967,NA
99701,Fairbanks North Star Borough,AK,NA,61.61616161616161,NA
99801,Juneau City and Borough,AK,NA,NA,75.57755775577559
85008,Maricopa County,AZ,14.507772020725387,NA,NA
85206,Maricopa County,AZ,NA,58.58585858585859,NA
85225,Maricopa County,AZ,81.34715025906736,NA,NA
85349,Yuma County,AZ,NA,95.28619528619528,NA
85634,Pima County,AZ,NA,NA,94.71947194719472
85650,Cochise County,AZ,NA,53.198653198653204,NA
85704,Pima County,AZ,NA,58.24915824915825,NA
85705,Pima County,AZ,6.7357512953367875,NA,NA
85715,Pima County,AZ,69.43005181347151,NA,NA
85739,Pinal County,AZ,NA,NA,83.16831683168317
85741,Pima County,AZ,NA,NA,59.73597359735974
85747,Pima County,AZ,NA,NA,96.03960396039604
71635,Ashley County,AR,NA,52.861952861952865,NA
72714,Benton County,AR,NA,NA,56.43564356435643
72758,Benton County,AR,76.68393782383419,NA,NA
72764,Washington County,AR,36.26943005181347,NA,NA
72901,Sebastian County,AR,96.89119170984456,NA,NA
90018,Los Angeles County,CA,NA,88.55218855218855,NA
90023,Los Angeles County,CA,35.751295336787564,NA,NA
90247,Los Angeles County,CA,NA,46.12794612794613,NA
90620,Orange County,CA,NA,NA,59.07590759075908
91345,Los Angeles County,CA,NA,81.81818181818183,NA
91405,Los Angeles County,CA,NA,39.73063973063973,NA
91710,San Bernardino County,CA,NA,49.158249158249156,NA
91739,San Bernardino County,CA,57.51295336787565,NA,NA
91790,Los Angeles County,CA,NA,46.464646464646464,NA
91942,San Diego County,CA,NA,NA,78.54785478547855
92106,San Diego County,CA,NA,56.9023569023569,NA
92111,San Diego County,CA,NA,NA,85.14851485148515
92223,Riverside County,CA,26.94300518134715,NA,NA
92344,San Bernardino County,CA,NA,NA,96.69966996699671
92345,San Bernardino County,CA,NA,14.14141414141414,NA
92376,San Bernardino County,CA,31.088082901554404,NA,NA
92392,San Bernardino County,CA,20.72538860103627,NA,NA
92647,Orange County,CA,NA,NA,15.181518151815181
92708,Orange County,CA,32.12435233160622,NA,NA
92887,Orange County,CA,NA,NA,98.01980198019803
93063,Ventura County,CA,NA,21.21212121212121,NA
93105,Santa Barbara County,CA,NA,NA,87.45874587458746
93111,Santa Barbara County,CA,NA,NA,60.726072607260726
93257,Tulare County,CA,NA,20.53872053872054,NA
93420,San Luis Obispo County,CA,NA,95.62289562289563,NA
93427,Santa Barbara County,CA,NA,NA,97.6897689768977
93458,Santa Barbara County,CA,NA,25.925925925925924,NA
93551,Los Angeles County,CA,48.704663212435236,NA,NA
93552,Los Angeles County,CA,53.36787564766839,NA,NA
93612,Fresno County,CA,NA,NA,41.584158415841586
93638,Madera County,CA,NA,NA,49.17491749174918
93705,Fresno County,CA,30.569948186528496,NA,NA
93926,Monterey County,CA,98.44559585492227,NA,NA
94010,San Mateo County,CA,NA,29.96632996632997,NA
94022,Santa Clara County,CA,NA,69.02356902356902,NA
94061,San Mateo County,CA,NA,NA,19.141914191419144
94509,Contra Costa County,CA,NA,42.42424242424242,NA
94513,Contra Costa County,CA,NA,NA,27.722772277227726
94547,Contra Costa County,CA,NA,NA,66.996699669967
94553,Contra Costa County,CA,NA,76.43097643097643,NA
94561,Contra Costa County,CA,NA,67.67676767676768,NA
94597,Contra Costa County,CA,NA,NA,72.27722772277228
95338,Mariposa County,CA,NA,NA,68.31683168316832
95376,San Joaquin County,CA,24.870466321243523,NA,NA
95437,Mendocino County,CA,66.83937823834198,NA,NA
95602,Placer County,CA,NA,NA,32.34323432343234
95670,Sacramento County,CA,71.50259067357513,NA,NA
95687,Solano County,CA,36.787564766839374,NA,NA
95816,Sacramento County,CA,NA,NA,70.95709570957096
95831,Sacramento County,CA,52.331606217616574,NA,NA
95842,Sacramento County,CA,41.968911917098445,NA,NA
96001,Shasta County,CA,NA,44.44444444444444,NA
80011,Arapahoe County,CO,NA,NA,70.62706270627062
80022,Adams County,CO,NA,35.69023569023569,NA
80112,Arapahoe County,CO,47.15025906735752,NA,NA
80128,Jefferson County,CO,NA,NA,66.006600660066
80219,Denver County,CO,9.844559585492227,NA,NA
80221,Adams County,CO,NA,48.484848484848484,NA
80304,Boulder County,CO,NA,NA,84.48844884488449
80439,Jefferson County,CO,NA,46.801346801346796,NA
80909,El Paso County,CO,NA,NA,29.7029702970297
81004,Pueblo County,CO,76.16580310880829,NA,NA
06461,New Haven County,CT,91.19170984455958,NA,NA
06482,Fairfield County,CT,NA,79.12457912457911,NA
06513,New Haven County,CT,NA,NA,93.72937293729373
06708,New Haven County,CT,NA,31.313131313131315,NA
19901,Kent County,DE,NA,17.17171717171717,NA
19952,Kent County,DE,NA,83.5016835016835,NA
32068,Clay County,FL,95.85492227979275,NA,NA
32110,Flagler County,FL,NA,NA,96.36963696369637
32207,Duval County,FL,NA,NA,50.82508250825083
32225,Duval County,FL,25.906735751295333,NA,NA
32404,Bay County,FL,NA,NA,24.09240924092409
32424,Calhoun County,FL,64.76683937823834,NA,NA
32707,Seminole County,FL,NA,84.17508417508418,NA
32750,Seminole County,FL,NA,48.148148148148145,NA
32771,Seminole County,FL,NA,30.63973063973064,NA
32966,Indian River County,FL,67.87564766839378,NA,NA
33021,Broward County,FL,NA,90.9090909090909,NA
33155,Miami-Dade County,FL,84.97409326424871,NA,NA
33174,Miami-Dade County,FL,NA,NA,47.85478547854785
33410,Palm Beach County,FL,NA,59.59595959595959,NA
33435,Palm Beach County,FL,43.523316062176164,NA,NA
33573,Hillsborough County,FL,NA,18.51851851851852,NA
33578,Hillsborough County,FL,NA,97.97979797979798,NA
33629,Hillsborough County,FL,NA,NA,56.10561056105611
33701,Pinellas County,FL,NA,57.23905723905723,NA
33703,Pinellas County,FL,99.48186528497409,NA,NA
33767,Pinellas County,FL,NA,70.37037037037037,NA
33860,Polk County,FL,56.476683937823836,NA,NA
33919,Lee County,FL,NA,NA,45.21452145214521
33952,Charlotte County,FL,23.83419689119171,NA,NA
34203,Manatee County,FL,NA,NA,16.5016501650165
34205,Manatee County,FL,NA,42.76094276094276,NA
34231,Sarasota County,FL,NA,16.161616161616163,NA
34232,Sarasota County,FL,NA,28.95622895622896,NA
34242,Sarasota County,FL,NA,NA,47.194719471947195
34287,Sarasota County,FL,NA,NA,17.491749174917494
34475,Marion County,FL,NA,64.3097643097643,NA
34491,Marion County,FL,NA,29.292929292929294,NA
34953,St. Lucie County,FL,NA,7.07070707070707,NA
30132,Paulding County,GA,NA,34.00673400673401,NA
30188,Cherokee County,GA,NA,NA,75.9075907590759
30309,Fulton County,GA,73.05699481865285,NA,NA
30315,Fulton County,GA,NA,21.885521885521886,NA
30512,Union County,GA,67.35751295336787,NA,NA
31024,Putnam County,GA,NA,36.02693602693603,NA
31601,Lowndes County,GA,NA,NA,81.84818481848185
31602,Lowndes County,GA,34.715025906735754,NA,NA
31903,Muscogee County,GA,61.13989637305699,NA,NA
31906,Muscogee County,GA,NA,37.71043771043771,NA
31909,Muscogee County,GA,NA,23.232323232323232,NA
96744,Honolulu County,HI,NA,NA,3.3003300330033
96749,Hawaii County,HI,70.46632124352331,NA,NA
96813,Honolulu County,HI,NA,60.26936026936027,NA
83201,Bannock County,ID,NA,35.01683501683502,33.33333333333333
83263,Franklin County,ID,NA,96.96969696969697,72.93729372937293
83607,Canyon County,ID,NA,NA,42.9042904290429
83616,Ada County,ID,NA,NA,14.19141914191419
83669,Ada County,ID,NA,NA,58.08580858085809
83672,Washington County,ID,NA,NA,56.76567656765676
83686,Canyon County,ID,29.533678756476682,NA,NA
83814,Kootenai County,ID,NA,NA,30.363036303630363
83843,Latah County,ID,NA,NA,59.4059405940594
60073,Lake County,IL,NA,23.905723905723907,NA
60148,DuPage County,IL,NA,NA,11.55115511551155
60188,DuPage County,IL,21.243523316062177,NA,NA
60202,Cook County,IL,NA,74.41077441077442,NA
60402,Cook County,IL,NA,10.1010101010101,NA
60419,Cook County,IL,NA,86.19528619528619,NA
60441,Will County,IL,NA,NA,38.28382838283829
60453,Cook County,IL,16.580310880829018,NA,NA
60523,DuPage County,IL,NA,NA,40.5940594059406
60558,Cook County,IL,NA,NA,54.78547854785478
60561,DuPage County,IL,NA,28.28282828282828,NA
60608,Cook County,IL,88.08290155440415,NA,NA
60609,Cook County,IL,NA,NA,21.122112211221122
60611,Cook County,IL,NA,NA,10.891089108910892
60623,Cook County,IL,74.61139896373057,NA,NA
60633,Cook County,IL,NA,NA,90.0990099009901
60644,Cook County,IL,NA,NA,17.82178217821782
60649,Cook County,IL,NA,8.417508417508419,NA
60651,Cook County,IL,46.63212435233161,NA,NA
60707,Cook County,IL,NA,NA,92.73927392739274
61021,Lee County,IL,NA,NA,22.442244224422442
61071,Whiteside County,IL,92.2279792746114,NA,NA
61080,Winnebago County,IL,78.23834196891191,NA,NA
61088,Winnebago County,IL,NA,NA,82.83828382838284
61108,Winnebago County,IL,50.77720207253886,NA,NA
61520,Fulton County,IL,NA,NA,81.51815181518151
61523,Peoria County,IL,NA,NA,64.02640264026402
61554,Tazewell County,IL,NA,11.447811447811448,NA
61603,Peoria County,IL,NA,63.2996632996633,NA
61605,Peoria County,IL,NA,NA,82.50825082508251
61607,Peoria County,IL,NA,NA,65.01650165016501
61701,McLean County,IL,NA,24.915824915824917,NA
61832,Vermilion County,IL,NA,NA,8.58085808580858
62439,Lawrence County,IL,100,NA,NA
62681,Schuyler County,IL,NA,89.22558922558923,NA
46036,Madison County,IN,79.27461139896373,NA,NA
46041,Clinton County,IN,NA,NA,43.89438943894389
46143,Johnson County,IN,NA,NA,5.2805280528052805
46163,Hancock County,IN,NA,58.92255892255892,NA
46205,Marion County,IN,NA,73.06397306397307,NA
46303,Lake County,IN,NA,NA,46.864686468646866
46368,Porter County,IN,NA,65.993265993266,NA
46375,Lake County,IN,NA,15.488215488215488,NA
46534,Starke County,IN,50.259067357512954,NA,NA
46561,St. Joseph County,IN,NA,78.45117845117845,NA
46808,Allen County,IN,NA,NA,62.37623762376238
46947,Cass County,IN,NA,11.11111111111111,NA
47130,Clark County,IN,NA,NA,32.34323432343234
47240,Decatur County,IN,30.05181347150259,NA,NA
47274,Jackson County,IN,NA,28.619528619528616,NA
47403,Monroe County,IN,NA,89.56228956228956,NA
47711,Vanderburgh County,IN,NA,22.895622895622896,NA
50158,Marshall County,IA,NA,92.5925925925926,NA
50315,Polk County,IA,NA,NA,43.23432343234324
50317,Polk County,IA,NA,45.11784511784512,NA
50677,Bremer County,IA,NA,88.21548821548821,NA
51334,Emmet County,IA,62.17616580310881,NA,54.12541254125413
51401,Carroll County,IA,77.720207253886,NA,NA
52537,Davis County,IA,NA,NA,88.11881188118812
52601,Des Moines County,IA,NA,NA,13.531353135313532
66207,Johnson County,KS,NA,NA,42.57425742574257
