ZipCode,county,state,Adult,Retirement
35062,Jefferson County,AL,NA,78.15126050420169
35111,Tuscaloosa County,AL,NA,75.63025210084034
35125,St. Clair County,AL,NA,64.91596638655463
35126,Jefferson County,AL,53.61596009975062,NA
35127,Jefferson County,AL,82.54364089775561,NA
35128,St. Clair County,AL,NA,65.33613445378151
35211,Jefferson County,AL,NA,25.210084033613445
35214,Jefferson County,AL,NA,36.97478991596639
35215,Jefferson County,AL,11.221945137157107,NA
35504,Walker County,AL,NA,60.71428571428571
35553,Winston County,AL,95.26184538653366,NA
35578,Walker County,AL,NA,78.57142857142857
35603,Morgan County,AL,20.448877805486283,NA
35640,Morgan County,AL,34.1645885286783,NA
35660,Colbert County,AL,70.07481296758104,NA
35748,Madison County,AL,NA,68.0672268907563
35749,Madison County,AL,50.374064837905244,NA
35758,Madison County,AL,38.403990024937656,NA
35811,Madison County,AL,41.64588528678304,NA
35967,DeKalb County,AL,66.08478802992519,NA
36092,Elmore County,AL,46.88279301745636,NA
36105,Montgomery County,AL,67.08229426433915,80.46218487394958
36467,Covington County,AL,NA,67.22689075630252
36502,Escambia County,AL,46.13466334164589,NA
36701,Dallas County,AL,NA,29.411764705882355
99502,Anchorage Municipality,AK,NA,72.05882352941177
99503,Anchorage Municipality,AK,48.87780548628429,NA
85029,Maricopa County,AZ,NA,39.285714285714285
85051,Maricopa County,AZ,NA,35.294117647058826
85210,Maricopa County,AZ,NA,52.73109243697479
85255,Maricopa County,AZ,NA,40.7563025210084
85295,Maricopa County,AZ,39.65087281795511,NA
85339,Maricopa County,AZ,NA,48.319327731092436
85364,Yuma County,AZ,NA,5.6722689075630255
85658,Pima County,AZ,96.00997506234414,83.82352941176471
86401,Mohave County,AZ,81.04738154613467,NA
86409,Mohave County,AZ,10.723192019950124,NA
90019,Los Angeles County,CA,41.14713216957606,NA
90024,Los Angeles County,CA,NA,52.52100840336135
90045,Los Angeles County,CA,65.08728179551122,NA
90066,Los Angeles County,CA,NA,31.512605042016805
90201,Los Angeles County,CA,NA,34.87394957983193
90640,Los Angeles County,CA,NA,74.36974789915966
91006,Los Angeles County,CA,85.03740648379052,NA
91202,Los Angeles County,CA,NA,62.60504201680672
91343,Los Angeles County,CA,NA,45.378151260504204
91710,San Bernardino County,CA,NA,20.3781512605042
91730,San Bernardino County,CA,23.44139650872818,NA
91741,Los Angeles County,CA,78.55361596009975,NA
91765,Los Angeles County,CA,NA,51.470588235294116
91790,Los Angeles County,CA,53.86533665835411,NA
91792,Los Angeles County,CA,NA,77.31092436974791
92019,San Diego County,CA,NA,43.69747899159664
92024,San Diego County,CA,NA,41.806722689075634
92040,San Diego County,CA,NA,27.100840336134453
92065,San Diego County,CA,50.87281795511222,NA
92120,San Diego County,CA,NA,66.38655462184873
92127,San Diego County,CA,NA,64.70588235294117
92223,Riverside County,CA,NA,37.81512605042017
92270,Riverside County,CA,NA,11.344537815126051
92346,San Bernardino County,CA,NA,42.857142857142854
92376,San Bernardino County,CA,NA,65.75630252100841
92392,San Bernardino County,CA,21.94513715710723,NA
92501,Riverside County,CA,77.80548628428927,NA
92530,Riverside County,CA,35.16209476309227,NA
92562,Riverside County,CA,28.179551122194514,NA
92571,Riverside County,CA,NA,51.26050420168067
92672,Orange County,CA,NA,77.10084033613445
92802,Orange County,CA,56.10972568578554,NA
92808,Orange County,CA,NA,75.42016806722688
92870,Orange County,CA,37.1571072319202,24.369747899159663
93021,Ventura County,CA,NA,92.01680672268907
93257,Tulare County,CA,16.957605985037407,NA
93274,Tulare County,CA,NA,20.168067226890756
93420,San Luis Obispo County,CA,68.82793017456359,NA
93458,Santa Barbara County,CA,17.955112219451372,NA
93551,Los Angeles County,CA,80.54862842892769,NA
93906,Monterey County,CA,71.07231920199501,NA
93930,Monterey County,CA,NA,86.34453781512606
94024,Santa Clara County,CA,NA,65.12605042016807
94062,San Mateo County,CA,58.35411471321695,NA
94080,San Mateo County,CA,NA,9.663865546218489
94086,Santa Clara County,CA,NA,70.37815126050421
