ZipCode,county,state,Adult
35055,Cullman County,AL,57.57575757575758
35216,Jefferson County,AL,56.666666666666664
36606,Mobile County,AL,65.15151515151516
99507,Anchorage Municipality,AK,28.78787878787879
85020,Maricopa County,AZ,35.75757575757576
85120,Pinal County,AZ,39.696969696969695
85140,Pinal County,AZ,31.212121212121215
85225,Maricopa County,AZ,10.606060606060606
85308,Maricopa County,AZ,29.6969696969697
85365,Yuma County,AZ,23.03030303030303
85552,Graham County,AZ,84.24242424242424
85704,Pima County,AZ,77.87878787878788
86409,Mohave County,AZ,7.575757575757576
71913,Garland County,AR,34.84848484848485
72204,Pulaski County,AR,51.21212121212121
72401,Craighead County,AR,13.030303030303031
72764,Washington County,AR,35.45454545454545
72958,Scott County,AR,73.33333333333333
90039,Los Angeles County,CA,94.24242424242424
90043,Los Angeles County,CA,43.63636363636363
90046,Los Angeles County,CA,51.515151515151516
90049,Los Angeles County,CA,79.0909090909091
90059,Los Angeles County,CA,30.303030303030305
90505,Los Angeles County,CA,59.696969696969695
90603,Los Angeles County,CA,82.42424242424242
90745,Los Angeles County,CA,72.42424242424242
91001,Los Angeles County,CA,59.09090909090909
91106,Los Angeles County,CA,93.03030303030303
91335,Los Angeles County,CA,25.151515151515152
91362,Ventura County,CA,66.06060606060606
91702,Los Angeles County,CA,27.575757575757574
91732,Los Angeles County,CA,38.78787878787879
91911,San Diego County,CA,18.484848484848484
92104,San Diego County,CA,22.727272727272727
92376,San Bernardino County,CA,8.181818181818182
92404,San Bernardino County,CA,14.242424242424242
92506,Riverside County,CA,72.72727272727273
92627,Orange County,CA,15.151515151515152
92653,Orange County,CA,76.36363636363637
92663,Orange County,CA,81.51515151515152
92688,Orange County,CA,33.939393939393945
93101,Santa Barbara County,CA,90.30303030303031
93212,Kings County,CA,86.66666666666667
93444,San Luis Obispo County,CA,60.60606060606061
93535,Los Angeles County,CA,8.484848484848486
93551,Los Angeles County,CA,56.96969696969697
93644,Madera County,CA,95.45454545454545
93654,Fresno County,CA,55.15151515151515
94109,San Francisco County,CA,62.42424242424243
94403,San Mateo County,CA,52.121212121212125
94519,Contra Costa County,CA,97.87878787878788
94550,Alameda County,CA,47.878787878787875
94602,Alameda County,CA,82.12121212121211
95008,Santa Clara County,CA,85.75757575757575
95320,San Joaquin County,CA,75.45454545454545
95355,Stanislaus County,CA,7.878787878787878
95368,Stanislaus County,CA,98.18181818181819
95376,San Joaquin County,CA,78.48484848484848
95453,Lake County,CA,73.63636363636363
95973,Butte County,CA,57.878787878787875
96001,Shasta County,CA,16.060606060606062
80215,Jefferson County,CO,66.66666666666666
06095,Hartford County,CT,37.57575757575757
06106,Hartford County,CT,17.272727272727273
06787,Litchfield County,CT,80.60606060606061
06790,Litchfield County,CT,20.909090909090907
32025,Columbia County,FL,36.36363636363637
32092,St. Johns County,FL,52.72727272727272
32218,Duval County,FL,3.3333333333333335
32246,Duval County,FL,45.151515151515156
32303,Leon County,FL,41.81818181818181
32435,Walton County,FL,80
32438,Bay County,FL,95.15151515151516
32503,Escambia County,FL,15.454545454545453
32550,Walton County,FL,95.75757575757575
32824,Orange County,FL,41.515151515151516
32907,Brevard County,FL,46.96969696969697
32958,Indian River County,FL,87.57575757575758
33015,Miami-Dade County,FL,51.81818181818182
33021,Broward County,FL,48.18181818181818
33067,Broward County,FL,79.6969696969697
33319,Broward County,FL,40.60606060606061
33324,Broward County,FL,69.0909090909091
33703,Pinellas County,FL,58.484848484848484
33771,Pinellas County,FL,42.72727272727273
33853,Polk County,FL,67.27272727272727
34291,Sarasota County,FL,96.06060606060606
34695,Pinellas County,FL,74.84848484848486
34953,St. Lucie County,FL,5.151515151515151
34990,Martin County,FL,63.63636363636363
30014,Newton County,GA,21.515151515151516
30030,DeKalb County,GA,44.24242424242424
30032,DeKalb County,GA,11.212121212121213
30102,Cherokee County,GA,46.36363636363636
30223,Spalding County,GA,34.54545454545455
30236,Clayton County,GA,26.36363636363636
30238,Clayton County,GA,53.63636363636364
30291,Fulton County,GA,37.27272727272727
30294,DeKalb County,GA,39.09090909090909
30534,Dawson County,GA,75.75757575757575
30677,Oconee County,GA,89.0909090909091
96734,Honolulu County,HI,34.24242424242424
96793,Maui County,HI,77.57575757575758
96815,Honolulu County,HI,49.696969696969695
83402,Bonneville County,ID,82.72727272727273
60004,Cook County,IL,19.696969696969695
60070,Cook County,IL,87.87878787878788
60074,Cook County,IL,40
60187,DuPage County,IL,35.15151515151515
60441,Will County,IL,73.93939393939394
60616,Cook County,IL,33.33333333333333
60631,Cook County,IL,26.666666666666668
60901,Kankakee County,IL,13.939393939393941
62231,Clinton County,IL,91.51515151515152
46143,Johnson County,IN,18.181818181818183
46224,Marion County,IN,25.757575757575758
46240,Marion County,IN,88.18181818181819
46311,Lake County,IN,28.18181818181818
47130,Clark County,IN,9.090909090909092
50401,Cerro Gordo County,IA,10.909090909090908
51503,Pottawattamie County,IA,66.36363636363637
52002,Dubuque County,IA,91.21212121212122
52402,Linn County,IA,70
52806,Scott County,IA,55.45454545454545
66204,Johnson County,KS,74.54545454545455
66210,Johnson County,KS,76.96969696969697
66609,Shawnee County,KS,93.93939393939394
67213,Sedgwick County,KS,64.24242424242425
40059,Jefferson County,KY,80.9090909090909
40065,Shelby County,KY,38.484848484848484
40211,Jefferson County,KY,12.424242424242424
40342,Anderson County,KY,30.606060606060602
40359,Owen County,KY,83.33333333333334
41091,Boone County,KY,73.03030303030303
70006,Jefferson Parish,LA,50.60606060606061
70043,St. Bernard Parish,LA,43.03030303030303
70447,St. Tammany Parish,LA,60
70546,Jefferson Davis Parish,LA,99.39393939393939
70560,Iberia Parish,LA,2.727272727272727
70647,Calcasieu Parish,LA,42.42424242424242
70809,East Baton Rouge Parish,LA,54.54545454545454
71037,Bossier Parish,LA,14.84848484848485
71118,Caddo Parish,LA,15.757575757575756
04274,Androscoggin County,ME,92.42424242424242
20646,Charles County,MD,90.9090909090909
20744,Prince George's County,MD,44.84848484848485
20855,Montgomery County,MD,91.81818181818183
21046,Howard County,MD,89.39393939393939
21201,Baltimore city,MD,44.54545454545455
21206,Baltimore city,MD,10.303030303030303
21208,Baltimore County,MD,62.121212121212125
21784,Carroll County,MD,57.27272727272727
01082,Hampshire County,MA,19.090909090909093
01108,Hampden County,MA,1.2121212121212122
01571,Worcester County,MA,63.93939393939394
01810,Essex County,MA,12.121212121212121
01906,Essex County,MA,90.6060606060606
01938,Essex County,MA,46.06060606060606
02122,Suffolk County,MA,9.393939393939393
02136,Suffolk County,MA,1.5151515151515151
02184,Norfolk County,MA,94.54545454545455
02465,Middlesex County,MA,56.36363636363636
02472,Middlesex County,MA,6.0606060606060606
02703,Bristol County,MA,0.6060606060606061
48034,Oakland County,MI,32.121212121212125
48044,Macomb County,MI,6.969696969696971
48168,Wayne County,MI,54.848484848484844
48189,Washtenaw County,MI,61.51515151515151
48197,Washtenaw County,MI,2.1212121212121215
48198,Washtenaw County,MI,2.4242424242424243
48205,Wayne County,MI,3.939393939393939
48209,Wayne County,MI,17.272727272727273
48601,Saginaw County,MI,1.8181818181818181
48723,Tuscola County,MI,61.81818181818181
48823,Ingham County,MI,29.09090909090909
48867,Shiawassee County,MI,5.757575757575758
49004,Kalamazoo County,MI,76.06060606060606
49203,Jackson County,MI,6.666666666666667
49301,Kent County,MI,87.27272727272727
49331,Kent County,MI,50.303030303030305
49423,Ottawa County,MI,37.878787878787875
49519,Kent County,MI,13.636363636363635
49548,Kent County,MI,6.363636363636363
55110,Ramsey County,MN,49.09090909090909
55125,Washington County,MN,38.18181818181819
55317,Carver County,MN,79.39393939393939
55337,Dakota County,MN,29.393939393939394
55410,Hennepin County,MN,84.84848484848484
55444,Hennepin County,MN,58.78787878787879
55927,Dodge County,MN,99.0909090909091
56187,Nobles County,MN,86.06060606060606
56308,Douglas County,MN,21.818181818181817
56537,Otter Tail County,MN,68.48484848484848
56721,Polk County,MN,56.060606060606055
38663,Tippah County,MS,71.81818181818181
39525,Hancock County,MS,85.45454545454545
39531,Harrison County,MS,72.12121212121212
63385,St. Charles County,MO,45.75757575757576
63401,Marion County,MO,47.27272727272727
64015,Jackson County,MO,11.818181818181818
65619,Greene County,MO,85.15151515151516
65708,Barry County,MO,68.78787878787878
65802,Greene County,MO,59.3939393939394
59718,Gallatin County,MT,32.42424242424242
68104,Douglas County,NE,20
68136,Sarpy County,NE,83.93939393939394
69162,Cheyenne County,NE,80.9090909090909
07070,Bergen County,NJ,69.39393939393939
07834,Morris County,NJ,67.87878787878789
08034,Camden County,NJ,30
08332,Cumberland County,NJ,0.9090909090909091
08402,Atlantic County,NJ,88.7878787878788
08609,Mercer County,NJ,9.696969696969697
08618,Mercer County,NJ,0.30303030303030304
08619,Mercer County,NJ,48.484848484848484
87114,Bernalillo County,NM,7.2727272727272725
87123,Bernalillo County,NM,11.515151515151516
87410,San Juan County,NM,65.75757575757576
87544,Los Alamos County,NM,63.33333333333333
88005,Doa Ana County,NM,40.909090909090914
88130,Roosevelt County,NM,67.57575757575758
10306,Richmond County,NY,50.90909090909091
10570,Westchester County,NY,98.7878787878788
10924,Orange County,NY,89.6969696969697
11214,Kings County,NY,13.333333333333334
11229,Kings County,NY,61.212121212121204
11716,Suffolk County,NY,99.69696969696969
12205,Albany County,NY,54.24242424242425
12303,Schenectady County,NY,71.51515151515152
12589,Ulster County,NY,96.66666666666667
13601,Jefferson County,NY,4.242424242424243
14204,Erie County,NY,39.39393939393939
14221,Erie County,NY,10
14904,Chemung County,NY,22.12121212121212
27012,Forsyth County,NC,24.545454545454547
27265,Guilford County,NC,52.121212121212125
27295,Davidson County,NC,3.6363636363636362
27529,Wake County,NC,18.787878787878785
27534,Wayne County,NC,68.18181818181817
27834,Pitt County,NC,5.454545454545454
28083,Cabarrus County,NC,23.939393939393938
28211,Mecklenburg County,NC,24.848484848484848
28214,Mecklenburg County,NC,23.333333333333332
28226,Mecklenburg County,NC,53.333333333333336
28328,Sampson County,NC,31.515151515151512
28338,Richmond County,NC,97.27272727272728
43560,Lucas County,OH,19.393939393939394
43609,Lucas County,OH,4.545454545454546
43613,Lucas County,OH,3.0303030303030303
44039,Lorain County,OH,26.060606060606062
44224,Summit County,OH,16.363636363636363
44646,Stark County,OH,8.787878787878787
44833,Crawford County,OH,27.878787878787882
45014,Butler County,OH,12.727272727272727
45140,Clermont County,OH,17.87878787878788
45429,Montgomery County,OH,41.21212121212121
45601,Ross County,OH,0
45651,Vinton County,OH,81.81818181818183
73149,Oklahoma County,OK,98.48484848484848
73162,Oklahoma County,OK,50
73644,Beckham County,OK,58.18181818181818
74019,Rogers County,OK,45.45454545454545
74112,Tulsa County,OK,55.757575757575765
74133,Tulsa County,OK,25.454545454545453
97220,Multnomah County,OR,31.818181818181817
97321,Linn County,OR,22.424242424242426
15063,Washington County,PA,64.54545454545455
15683,Westmoreland County,PA,78.78787878787878
16915,Potter County,PA,83.63636363636363
17543,Lancaster County,PA,75.15151515151514
17814,Columbia County,PA,94.84848484848484
19015,Delaware County,PA,69.6969696969697
19026,Delaware County,PA,14.545454545454545
19130,Philadelphia County,PA,36.06060606060606
19137,Philadelphia County,PA,65.45454545454545
19601,Berks County,PA,30.909090909090907
02865,Providence County,RI,70.3030303030303
02882,Washington County,RI,86.96969696969697
29036,Lexington County,SC,71.21212121212122
29209,Richland County,SC,42.12121212121212
29212,Lexington County,SC,64.84848484848484
29615,Greenville County,SC,60.303030303030305
29624,Anderson County,SC,70.60606060606061
29681,Greenville County,SC,21.21212121212121
37206,Davidson County,TN,66.96969696969697
37341,Hamilton County,TN,93.63636363636364
37645,Hawkins County,TN,90
37912,Knox County,TN,23.636363636363637
38111,Shelby County,TN,16.666666666666664
75115,Dallas County,TX,16.969696969696972
75116,Dallas County,TX,80.3030303030303
75189,Rockwall County,TX,76.66666666666667
75230,Dallas County,TX,96.36363636363636
75440,Rains County,TX,96.96969696969697
75567,Bowie County,TX,100
75703,Smith County,TX,27.27272727272727
76014,Tarrant County,TX,48.78787878787879
76039,Tarrant County,TX,33.63636363636363
76084,Johnson County,TX,88.48484848484848
77354,Montgomery County,TX,49.3939393939394
77471,Fort Bend County,TX,36.36363636363637
77484,Waller County,TX,92.12121212121212
77536,Harris County,TX,36.96969696969697
77571,Harris County,TX,78.18181818181819
77905,Victoria County,TX,63.030303030303024
78109,Bexar County,TX,47.57575757575758
78735,Travis County,TX,97.57575757575758
78745,Travis County,TX,60.909090909090914
79765,Ector County,TX,70.9090909090909
79938,El Paso County,TX,26.969696969696972
84067,Weber County,UT,32.72727272727273
84088,Salt Lake County,UT,33.03030303030303
84129,,UT,24.242424242424242
05001,Windsor County,VT,84.54545454545455
05491,Addison County,VT,92.72727272727272
22015,Fairfax County,VA,53.03030303030303
22150,Fairfax County,VA,53.939393939393945
22701,Culpeper County,VA,20.303030303030305
98036,Snohomish County,WA,46.666666666666664
98118,King County,WA,74.24242424242425
98204,Snohomish County,WA,20.606060606060606
98248,Whatcom County,WA,93.33333333333333
98409,Pierce County,WA,83.03030303030303
98661,Clark County,WA,86.36363636363636
98663,Clark County,WA,77.27272727272727
99206,Spokane County,WA,43.93939393939394
20002,District of Columbia,DC,4.848484848484849
25428,Berkeley County,WV,62.727272727272734
54303,Brown County,WI,43.333333333333336
54701,Eau Claire County,WI,40
54729,Chippewa County,WI,28.484848484848484
