ZipCode,county,state,Youth,Adult,Retirement,Geriatric
35007,Shelby County,AL,NA,NA,61.3247263541959,NA
35010,Tallapoosa County,AL,NA,NA,94.33062026382262,NA
35016,Marshall County,AL,NA,75.83586626139818,NA,NA
35020,Jefferson County,AL,18.6046511627907,NA,54.729160819534094,27.027027027027028
35022,Jefferson County,AL,NA,63.79939209726444,NA,65.84174535981765
35023,Jefferson County,AL,NA,NA,8.19534100477126,66.85118853793553
35046,Chilton County,AL,NA,NA,80.60623070446253,NA
35064,Jefferson County,AL,NA,NA,88.71737300028066,NA
35071,Jefferson County,AL,NA,NA,NA,47.9648323021817
35079,Blount County,AL,NA,88.60182370820668,NA,NA
35080,Shelby County,AL,NA,50.3951367781155,NA,NA
35111,Tuscaloosa County,AL,NA,NA,73.42127420712883,NA
35124,Shelby County,AL,NA,NA,77.18214987370193,NA
35125,St. Clair County,AL,NA,NA,NA,52.68642136112016
35126,Jefferson County,AL,NA,43.79939209726444,38.61914117316868,NA
35127,Jefferson County,AL,NA,NA,48.02133033960146,NA
35128,St. Clair County,AL,NA,NA,59.47235475722705,NA
35150,Talladega County,AL,NA,31.06382978723404,NA,NA
35173,Jefferson County,AL,NA,NA,63.68229020488353,36.470205144903936
35180,Jefferson County,AL,NA,NA,59.13555992141454,NA
35206,Jefferson County,AL,29.900332225913623,NA,NA,NA
35208,Jefferson County,AL,NA,29.45288753799392,NA,99.67437316834908
35210,Jefferson County,AL,NA,NA,55.54308167274768,52.06773038098339
35211,Jefferson County,AL,NA,57.0516717325228,48.52652259332024,NA
35213,Jefferson County,AL,NA,NA,54.616895874263264,81.17876913057636
35214,Jefferson County,AL,NA,56.96048632218845,28.03817008139208,61.12015630087919
35215,Jefferson County,AL,NA,4.924012158054712,25.7928711759753,25.594268967762947
35216,Jefferson County,AL,NA,NA,NA,69.03288830999674
35217,Jefferson County,AL,NA,NA,37.01936570305922,NA
35222,Jefferson County,AL,62.7906976744186,NA,NA,NA
35223,Jefferson County,AL,NA,NA,NA,63.43210680560078
35228,Jefferson County,AL,NA,NA,NA,97.13448388147184
35235,Jefferson County,AL,NA,46.443768996960486,NA,NA
35242,Shelby County,AL,NA,NA,76.789222565254,NA
35243,Jefferson County,AL,NA,NA,77.26634858265507,47.053077173559096
35244,Jefferson County,AL,NA,NA,29.329216952006735,NA
35401,Tuscaloosa County,AL,NA,NA,43.362335110861636,NA
35404,Tuscaloosa County,AL,NA,10.182370820668693,57.73224810552905,NA
35405,Tuscaloosa County,AL,NA,43.61702127659575,33.17429132753298,NA
35462,Greene County,AL,NA,NA,NA,84.53272549658092
35475,Tuscaloosa County,AL,NA,NA,NA,68.02344513187887
35476,Tuscaloosa County,AL,NA,NA,76.2559640752175,NA
35546,Fayette County,AL,NA,NA,81.13948919449902,NA
35550,Walker County,AL,NA,NA,NA,93.682839465972
35555,Fayette County,AL,NA,56.74772036474164,NA,72.4194073591664
35570,Marion County,AL,NA,59.544072948328264,NA,NA
35580,Walker County,AL,NA,NA,NA,98.33930315858026
35603,Morgan County,AL,NA,NA,22.08812798203761,NA
35611,Limestone County,AL,NA,68.32826747720365,NA,NA
35613,Limestone County,AL,NA,65.71428571428571,NA,NA
35620,Limestone County,AL,NA,77.35562310030394,NA,NA
35630,Lauderdale County,AL,NA,NA,24.61408925063149,NA
35648,Lauderdale County,AL,NA,NA,NA,91.04526212959948
35653,Franklin County,AL,NA,91.03343465045593,NA,82.05796157603386
